,ÍòµÃÈ«A,SMB,HML,alpha
2014-06-30,0.1939***,-0.1482***,0.0582***,0.0003
2014-09-30,0.7812***,-0.1685***,0.2682***,-0.0008
2014-12-31,0.8833***,-0.0174***,0.1424***,0.0001
2015-03-31,0.7959***,-0.1286***,0.2496***,0.0002
2015-06-30,0.7897***,-0.3629***,0.3511***,0.0017
2015-09-30,0.8062***,-0.4372***,0.6092***,0.001
2015-12-31,0.7472***,-0.1471***,0.0793***,-0.0002
2016-03-31,0.8248***,-0.1378***,0.0642***,0.0008
2016-06-30,0.7602***,-0.0006***,0.2816***,0.0009
2016-09-30,0.9056***,0.1295***,-0.4463***,0.001
2016-12-30,0.9284***,-0.177***,0.0325***,-0.0001
2017-03-31,1.1939***,-0.3449***,-0.0129***,0.0012
2017-06-30,1.0759***,-0.5333***,0.8862***,0.001
2017-09-29,0.9402***,-0.3189***,0.3002***,0.0002
2017-12-29,1.0866***,-0.4027***,0.3714***,0.0009
2018-03-30,0.9034***,-0.286***,0.1776***,0.0005
2018-06-29,0.9504***,-0.3134***,0.3248***,0.0005
2018-09-28,0.9554***,-0.4193***,0.3567***,-0.0005
2018-12-28,0.9034***,-0.3765***,-0.0056***,0.0002
2019-03-29,0.8439***,-0.461***,-0.2113***,0.0004
2019-06-28,0.9515***,-0.6882***,0.0281***,-0.0004
2019-09-30,0.9775***,-0.4148***,-0.2563***,-0.0
2019-12-31,1.0386***,-0.5562***,0.0174***,0.0015
2020-03-31,0.9343***,-0.7232***,0.375***,0.0004
2020-06-30,0.812***,-0.5303***,0.2882***,0.0011
2020-07-31,0.9093***,-0.5999***,0.6248***,0.0011
