,大盘成长,大盘价值,中盘成长,中盘价值,小盘成长,小盘价值,中债总财富指数
2014-06-30,0.0207***,0.2078***,0.0***,0.0***,0.0277***,0.0***,0.7439***
2014-09-30,0.371***,0.0***,0.0903***,0.0042***,0.169***,0.1786***,0.1868***
2014-12-31,0.0***,0.2442***,0.1598***,0.0726***,0.4521***,-0.0***,0.0712***
2015-03-31,0.1122***,0.1629***,0.4772***,-0.0***,-0.0***,0.0743***,0.1734***
2015-06-30,0.5854***,-0.0***,0.0696***,0.0***,0.1603***,0.0853***,0.0994***
2015-09-30,0.5475***,-0.0***,0.1758***,0.2767***,0.0***,-0.0***,0.0***
2015-12-31,0.3519***,-0.0***,0.1369***,-0.0***,0.0698***,0.2985***,0.1429***
2016-03-31,0.3633***,0.0035***,0.259***,-0.0***,0.0***,0.2817***,0.0925***
2016-06-30,0.3175***,-0.0***,0.0***,-0.0***,0.1759***,0.4332***,0.0734***
2016-09-30,-0.0***,0.0596***,0.0464***,0.3188***,-0.0***,0.4702***,0.105***
2016-12-30,0.0688***,0.2726***,0.109***,0.0***,0.2353***,0.3142***,-0.0***
2017-03-31,0.0536***,0.0794***,0.4796***,0.232***,0.0***,0.1553***,-0.0***
2017-06-30,0.297***,0.0252***,0.6778***,-0.0***,-0.0***,-0.0***,-0.0***
2017-09-29,0.1343***,0.2341***,0.4749***,0.0***,-0.0***,0.1503***,0.0064***
2017-12-29,0.1511***,0.2699***,0.4304***,0.0***,0.0***,0.1486***,-0.0***
2018-03-30,0.1414***,0.3299***,0.268***,0.0***,0.183***,0.0***,0.0777***
2018-06-29,0.0553***,0.2504***,0.3945***,-0.0***,-0.0***,0.2853***,0.0146***
2018-09-28,0.2351***,0.1794***,0.3713***,0.0***,0.0***,0.2041***,0.0101***
2018-12-28,0.1803***,0.5194***,0.1399***,0.0***,-0.0***,0.0901***,0.0703***
2019-03-29,0.1656***,0.6057***,0.0***,-0.0***,0.0***,0.0983***,0.1303***
2019-06-28,0.3939***,0.5692***,0.0***,0.0***,0.0***,0.0***,0.0368***
2019-09-30,0.3003***,0.5598***,0.0***,0.0***,0.0***,0.0884***,0.0515***
2019-12-31,0.6187***,0.3813***,-0.0***,0.0***,-0.0***,-0.0***,0.0***
2020-03-31,0.6474***,0.2818***,-0.0***,0.0***,0.0187***,0.0***,0.0521***
2020-06-30,0.644***,0.1768***,0.0424***,-0.0***,0.0436***,-0.0***,0.0932***
2020-07-31,0.903***,0.0***,0.0667***,0.0***,0.0***,0.0***,0.0303***
